Seventeenth Lok Sabha,,
Sitting Members (Alphabetical),,
Name of Member,Party Name,Constituency & State
Shri Kanakmal Katara,Bharatiya Janata Party,Banswara (ST)(Rajasthan)
Shri Rattan Lal Kataria,Bharatiya Janata Party,Ambala (SC)(Haryana)
Shri Nalin Kumar Kateel,Bharatiya Janata Party,Dakshina Kannada (Karnataka)
Prof. (Dr.) Ram Shankar Katheria,Bharatiya Janata Party,Etawah (SC)(Uttar Pradesh)
Shri Durai Murugan Kathir Anand,Dravida Munnetra Kazhagam,Vellore (Tamil Nadu)
Smt. Preneet Kaur,Indian National Congress,Patiala (Punjab)
Shri Ramesh Chander Kaushik,Bharatiya Janata Party,Sonipat (Haryana)
Shri Srinivas Kesineni,Telugu Desam Party,Vijayawada (Andhra Pradesh)
Smt. Raksha Nikhil Khadse,Bharatiya Janata Party,Raver (Maharashtra)
Shri Abdul Khaleque,Indian National Congress,Barpeta (Assam)
Shri Abu Taher Khan,All India Trinamool Congress,Murshidabad (West Bengal)
Shri Mohammad Azam Khan,Samajwadi Party,Rampur (Uttar Pradesh)
Smt. Kirron Kher,Bharatiya Janata Party,Chandigarh (Chandigarh)
Shri Bhagwanth Khuba,Bharatiya Janata Party,Bidar (Karnataka)
Shri Gajanan Chandrakant Kirtikar,Shiv Sena,Mumbai-North-West (Maharashtra)
Shri Kaushal Kishore,Bharatiya Janata Party,Mohanlalganj (SC)(Uttar Pradesh)
Shri Suresh Kodikunnil,Indian National Congress,Mavelikkara (SC)(Kerala)
Dr. Amol Ramsing Kolhe,Nationalist Congress Party,Shirur (Maharashtra)
Smt. Ranjeeta Koli,Bharatiya Janata Party,Bharatpur (SC)(Rajasthan)
Smt. Geeta Kora,Indian National Congress,Singhbhum (ST)(Jharkhand)
Shri Manoj Kishorbhai Kotak,Bharatiya Janata Party,Mumbai-North-East (Maharashtra)
Shri Faggan Singh Kulaste,Bharatiya Janata Party,Mandla (ST)(Madhya Pradesh)
Shri Dhanush M Kumar,Dravida Munnetra Kazhagam,Tenkasi (SC)(Tamil Nadu)
Shri Kaushalendra Kumar,Janata Dal (United),Nalanda (Bihar)
Shri Narendra Kumar,Bharatiya Janata Party,Jhunjhunu (Rajasthan)
Shri Santosh Kumar,Janata Dal (United),Purnia (Bihar)
Shri Sunil Kumar,Janata Dal (United),Valmiki Nagar (Bihar)
Shri Vijay Kumar,Janata Dal (United),Gaya (SC)(Bihar)
Dr. Virendra Kumar,Bharatiya Janata Party,Tikamgarh (SC)(Madhya Pradesh)
Km. Diya Kumari,Bharatiya Janata Party,Rajsamand (Rajasthan)
Shri Mohanbhai Kalyanji Kundariya,Bharatiya Janata Party,Rajkot (Gujarat)
Shri Danish Ali Kunwar,Bahujan Samaj Party,Amroha (Uttar Pradesh)
Adv. Dean Kuriakose,Indian National Congress,Idukki (Kerala)
Shri Ravindra Kushawaha,Bharatiya Janata Party,Salempur (Uttar Pradesh)
Shri Akshaibar Lal,Bharatiya Janata Party,Bahraich (SC)(Uttar Pradesh)
Shri Pakauri Lal,Apna Dal,Robertsganj (SC)(Uttar Pradesh)
Shri C. Lalrosanga,Mizo National Front,Mizoram (ST)(Mizoram)
Shri Shankar Lalwani,Bharatiya Janata Party,Indore (Madhya Pradesh)
Shri Sri Krishna Devarayalu Lavu,Yuvajana Sramika Rythu Congress Party,Narasaraopet (Andhra Pradesh)
Smt. Meenakashi Lekhi,Bharatiya Janata Party,New Delhi (NCT of Delhi)
Shri Sadashiv Kisan Lokhande,Shiv Sena,Shirdi (SC)(Maharashtra)
Shri Mohammad Akbar Lone,Jammu and Kashmir National Conference,Baramulla (Jammu and Kashmir)
Smt. Poonamben Hematbhai Maadam,Bharatiya Janata Party,Jamnagar (Gujarat)
Shri Kuruva Gorantla Madhav,Yuvajana Sramika Rythu Congress Party,Hindupur (Andhra Pradesh)
Smt. Goddeti Madhavi,Yuvajana Sramika Rythu Congress Party,Araku (ST)(Andhra Pradesh)
Smt. Poonam Pramod Mahajan,Bharatiya Janata Party,Mumbai-North-Central (Maharashtra)
Smt. Jyotsna Charandas Mahant,Indian National Congress,Korba (Chhattisgarh)
Dr. Jaisiddeshwar Shivacharya Mahaswamiji,Bharatiya Janata Party,Solapur (SC)(Maharashtra)
Shri Bidyut Baran Mahato,Bharatiya Janata Party,Jamshedpur (Jharkhand)
Shri Jyotirmay Singh Mahato,Bharatiya Janata Party,Purulia (West Bengal)
Shri Bhartruhari Mahtab,Biju Janata Dal,Cuttack (Odisha)
Shri Ramesh Chandra Majhi,Biju Janata Dal,Nabarangpur (ST)(Odisha)
Dr. Sukanta Majumdar,Bharatiya Janata Party,Balurghat (West Bengal)
Shri Asit Kumar Mal,All India Trinamool Congress,Bolpur (SC)(West Bengal)
Shri Kripanath Mallah,Bharatiya Janata Party,Karimganj (SC)(Assam)
Dr. Rajashree Mallick,Biju Janata Dal,Jagatsinghpur (SC)(Odisha)
Smt. Kavitha Maloth,Telangana Rashtra Samithi,Mahabubabad (ST)(Telangana)
Shri Ajay Kumar Mandal,Janata Dal (United),Bhagalpur (Bihar)
Smt. Manjulata Mandal,Biju Janata Dal,Bhadrak (SC)(Odisha)
Shri Ramprit Mandal,Janata Dal (United),Jhanjharpur (Bihar)
Shri Mohan Mandavi,Bharatiya Janata Party,Kanker (ST)(Chhattisgarh)
Prof. Sanjay Sadashivrao Mandlik,Shiv Sena,Kolhapur (Maharashtra)
Shri Dhairyasheel S. Mane,Shiv Sena,Hatkanangle (Maharashtra)
Shri Bhagwant Mann,Aam Aadmi Party,Sangrur (Punjab)
Shri Srinivas Reddy Manne,Telangana Rashtra Samithi,Mahabubnagar (Telangana)
Thiru Dayanidhi Maran,Dravida Munnetra Kazhagam,Chennai Central (Tamil Nadu)
Shri Bharat Ram Margani,Yuvajana Sramika Rythu Congress Party,Rajahmundry (Andhra Pradesh)
Shri Hasnain Masoodi,Jammu and Kashmir National Conference,Anantnag (Jammu and Kashmir)
Dr. Sanghamitra Maurya,Bharatiya Janata Party,Badaun (Uttar Pradesh)
Shri Arjunlal Meena,Bharatiya Janata Party,Udaipur (ST)(Rajasthan)
Smt. Jaskaur Meena,Bharatiya Janata Party,Dausa (ST)(Rajasthan)
Shri Arjun Ram Meghwal,Bharatiya Janata Party,Bikaner (SC)(Rajasthan)
Shri Sunil Baburao Mendhe,Bharatiya Janata Party,Bhandara-Gondiya (Maharashtra)
Shri Janardan Mishra,Bharatiya Janata Party,Rewa (Madhya Pradesh)
Shri Ajay (Teni) Misra,Bharatiya Janata Party,Kheri (Uttar Pradesh)
